brand_name,listing_id,offer_price,original_price,product_id,product_link,product_name
U.S. Polo Assn,LSTTSHFDYJ2THFQ6GJTLX1DRO,"1,049","1,399",TSHFDYJ2THFQ6GJT,http://flipkart.com/u-s-polo-assn-solid-men-neck-dark-blue-t-shirt/p/itmfdyj2pjwgjwaz,Solid Men Polo Neck Dark Blue T-Shirt
Metronaut,LSTTSHFGVSVQRAJUUBDLVIG6N,449,999,TSHFGVSVQRAJUUBD,http://flipkart.com/metronaut-solid-men-hooded-neck-grey-t-shirt/p/itm462c2d164c154,Solid Men Hooded Neck Grey T-Shirt
Metronaut,LSTTSHFNXZFUACKHCFQ3NEMMR,449,999,TSHFNXZFUACKHCFQ,http://flipkart.com/metronaut-printed-men-round-neck-blue-t-shirt/p/itmc7b99aa3b1d75,Printed Men Round Neck Blue T-Shirt
Urbano Fashion,LSTTSHFA5YG69CSRN2DNK0ITX,284,999,TSHFA5YG69CSRN2D,http://flipkart.com/urbano-fashion-graphic-print-men-round-crew-blue-t-shirt/p/itmfa6y3fukqhgrg,Graphic Print Men Round or Crew Blue T-Shirt
Try This,LSTTSHF6CN26FKAPXK2YGLDHF,329,999,TSHF6CN26FKAPXK2,http://flipkart.com/try-self-design-men-henley-black-t-shirt/p/itmf6cthvtywzwzg,Self Design Men Henley Black T-Shirt
Puma,LSTTSHFHB38ZNG5ZZGKDJ4AB6,714,"1,299",TSHFHB38ZNG5ZZGK,http://flipkart.com/puma-printed-men-round-neck-black-orange-t-shirt/p/itm5f638f0863be0,"Printed Men Round Neck Black, Orange T-Shirt"
Peter England,LSTTSHFM5BKZN2BVXVZCSWHQB,699,999,TSHFM5BKZN2BVXVZ,http://flipkart.com/peter-england-striped-men-polo-neck-dark-blue-t-shirt/p/itmda824449afbc6,Striped Men Polo Neck Dark Blue T-Shirt
Bi Fashion,LSTTSHFCTMFRZHE6GD2EX3OGM,345,899,TSHFCTMFRZHE6GD2,http://flipkart.com/bi-fashion-striped-men-round-neck-maroon-black-t-shirt/p/itmfctphnzaaveuz,"Striped Men Round Neck Maroon, Black T-Shirt"
Fenoix,LSTTSHFDESVXGDCW4DHPBJHL3,399,999,TSHFDESVXGDCW4DH,http://flipkart.com/fenoix-color-block-men-hooded-dark-green-t-shirt/p/itmfdfns7cj3gmzm,Color Block Men Hooded Dark Green T-Shirt
DIFFERENCE OF OPINION,LSTTSHFNZG7HNZQEF8FXIRBDC,429,"1,249",TSHFNZG7HNZQEF8F,http://flipkart.com/difference-opinion-solid-men-round-neck-green-t-shirt/p/itmaf6e0d20d9a1c,Solid Men Round Neck Green T-Shirt
