brand_name,listing_id,offer_price,original_price,product_id,product_link,product_name
Metronaut,LSTTSHFC9JZEMUPGEKMONHEGP,299,599,TSHFC9JZEMUPGEKM,http://flipkart.com/metronaut-solid-men-round-neck-dark-green-t-shirt/p/itmfc9jzwc6pewcq,Solid Men Round Neck Dark Green T-Shirt
Seven Rocks,LSTTSHEX9FK5DYBW6FZDNWJBG,349,"1,299",TSHEX9FK5DYBW6FZ,http://flipkart.com/seven-rocks-solid-men-v-neck-blue-t-shirt/p/itmf3yrpzryhqq9f,Solid Men V Neck Blue T-Shirt
Wrath,LSTTSHFGS22CK8JRETMARGOO5,399,"1,499",TSHFGS22CK8JRETM,http://flipkart.com/wrath-color-block-men-round-neck-green-black-t-shirt/p/itmfgsbgzh95txq8,"Color Block Men Round Neck Green, Black T-Shirt"
Ronit leading Clothing,LSTTSHFNFHB8GAYHKSDAKWLRP,233,829,TSHFNFHB8GAYHKSD,http://flipkart.com/ronit-leading-clothing-striped-men-hooded-neck-blue-t-shirt/p/itm1f9e125c0b76c,Striped Men Hooded Neck Blue T-Shirt
BELTLY,LSTTSHFNG2YW6GRNQKKOZOM2X,199,599,TSHFNG2YW6GRNQKK,http://flipkart.com/beltly-solid-men-round-neck-blue-t-shirt/p/itm013794d0720fa,Solid Men Round Neck Blue T-Shirt
SHAPPHR,LSTTSHFM6J3H6UKGAY3KJKICH,284,"1,199",TSHFM6J3H6UKGAY3,http://flipkart.com/shapphr-solid-men-hooded-neck-red-t-shirt/p/itmadd6941b3cca7,Solid Men Hooded Neck Red T-Shirt
Fenoix,LSTTSHFDESVXGDCW4DHPBJHL3,399,999,TSHFDESVXGDCW4DH,http://flipkart.com/fenoix-color-block-men-hooded-dark-green-t-shirt/p/itmfdfns7cj3gmzm,Color Block Men Hooded Dark Green T-Shirt
THE EG STORE,LSTTSHFJXGZ53CHYG7ZKB5MQ9,299,799,TSHFJXGZ53CHYG7Z,http://flipkart.com/eg-store-solid-men-round-neck-black-t-shirt/p/itm35ad601a5d86b,Solid Men Round Neck Black T-Shirt
Allen Solly,LSTTSHFJPK42YG7YYYM0JVZ37,629,899,TSHFJPK42YG7YYYM,http://flipkart.com/allen-solly-solid-men-polo-neck-blue-t-shirt/p/itmfa5c2a4a94dfd,Solid Men Polo Neck Blue T-Shirt
VOYAGUE,LSTTSHFH7UXADKNNVGUCMT5M2,888,"2,697",TSHFH7UXADKNNVGU,http://flipkart.com/voyague-solid-men-round-neck-multicolor-t-shirt/p/itmee13ebc35854f,Solid Men Round Neck Multicolor T-Shirt
Tivy,LSTTSHFMBHPYNRDNSNQYBGV0V,934,"3,996",TSHFMBHPYNRDNSNQ,http://flipkart.com/tivy-solid-men-v-neck-multicolor-t-shirt/p/itm9fdd16c2e4dbd,Solid Men V Neck Multicolor T-Shirt
Indian Terrain,LSTTSHFNAA5FGYBGZSTGRVK3O,499,999,TSHFNAA5FGYBGZST,http://flipkart.com/indian-terrain-printed-men-round-neck-black-t-shirt/p/itm23a02d3a06395,Printed Men Round Neck Black T-Shirt
The EG Store,LSTTSHFE5FG9NCUN8RN9IKCSD,299,799,TSHFE5FG9NCUN8RN,http://flipkart.com/eg-store-solid-men-mandarin-collar-black-t-shirt/p/itmf5c5c43c5f425,Solid Men Mandarin Collar Black T-Shirt
Maniac,LSTTSHFGCWJDAHBZGKHBYHFFX,383,"1,199",TSHFGCWJDAHBZGKH,http://flipkart.com/maniac-striped-men-round-neck-dark-blue-t-shirt/p/itmcfafc2d88c8ab,Striped Men Round Neck Dark Blue T-Shirt
FastColors,LSTTSHFJWAUGVZGYQZYDTUN7Z,333,"1,999",TSHFJWAUGVZGYQZY,http://flipkart.com/fastcolors-solid-men-round-neck-dark-blue-red-black-t-shirt/p/itm227b8c7738544,"Solid Men Round Neck Dark Blue, Red, Black T-Shirt"
Mode Rebel,LSTTSHFJ22MSHYZBHHZRWFSUF,698,"2,449",TSHFJ22MSHYZBHHZ,http://flipkart.com/mode-rebel-typography-men-round-neck-multicolor-t-shirt/p/itm04fbd11defe71,Typography Men Round Neck Multicolor T-Shirt
